FECHA,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA
2024-09-29,3,881.1,3513692.21,4243578.02,0.0,106728.54000000001,0.0
2024-09-29,4,887.96,3182675.07,4494545.61,0.0,106592.08,0.0
2024-09-29,5,880.1,3093326.7399999998,4488136.03,265.44,105169.46,0.0
2024-09-29,6,880.1,3110749.51,4288530.0200000005,57847.2,106563.76,20.96
2024-09-29,7,880.1,3113200.8600000003,4332158.17,250591.52,110954.98,4787.07
2024-09-29,8,880.1,3204845.0100000002,4280192.09,506638.88,104938.03,18376.68
2024-09-29,9,887.96,3343021.66,4188752.64,715826.57,109316.57999999999,10779.46
2024-09-29,10,893.02,3199234.6,4260840.97,989206.63,107968.70999999999,948.02
2024-09-29,11,934.57,3151823.8400000003,4454410.6,986951.95,105540.68000000001,0.0
2024-09-29,12,934.57,3149285.25,4596354.93,875307.8200000001,102315.83,0.0
2024-09-29,13,934.57,3158488.4699999997,4700303.32,775666.42,95041.23999999999,1353.6899999999998
2024-09-29,14,934.57,3137423.47,4924976.73,480448.54,92991.67,2504.64
2024-09-29,15,934.57,3248724.72,4901465.28,348147.07,98686.64,2791.2
2024-09-29,16,934.57,3492359.13,5008634.18,195167.03,100336.64,3220.08
2024-09-29,17,934.57,3454188.59,5417927.49,32044.69,102893.56999999999,1986.6
2024-09-29,18,934.57,3502229.28,6185865.88,16.42,105806.39,0.0
2024-09-29,19,934.57,3597139.25,6191643.0200000005,0.0,100977.21,0.0
2024-09-29,20,934.57,3735054.0300000003,5904132.6,0.0,103901.45999999999,0.0
2024-09-29,21,934.57,3789991.27,5531673.5,0.0,102740.67,0.0
2024-09-29,22,934.57,3728704.77,5165029.93,0.0,102142.82999999999,17145.29
2024-09-29,23,897.1,3725915.18,4664147.45,0.0,104779.47,15125.59
2024-09-30,0,2498.8,3577751.5,4060459.67,0.0,105464.11,547.9300000000001
2024-09-30,1,2498.8,3469987.51,3950183.36,0.0,102659.14,1751.87
2024-09-30,2,2498.8,3453260.98,3828209.33,0.0,108410.38,2211.67
2024-09-30,3,2498.8,3597092.12,3637178.77,0.0,100782.44,783.9100000000001
2024-09-30,4,2498.8,3826257.0300000003,3612402.21,0.0,99227.22,347.95
2024-09-30,5,2498.8,3975122.52,3938242.1599999997,413.68,107365.39,36.23
2024-09-30,6,2498.8,4015276.78,4003279.23,86732.33,106724.66,0.0
2024-09-30,7,2498.8,3985509.08,4328213.7299999995,287273.2,98166.66,0.0
2024-09-30,8,2498.8,4054975.89,4415786.76,585475.36,97267.69,72.5
2024-09-30,9,2498.8,4149317.19,4259614.39,911512.44,95713.51000000001,1134.68
2024-09-30,10,2498.8,4172190.68,4377221.63,1075904.41,97691.24,2334.09
2024-09-30,11,2498.8,4197860.2700000005,4542336.28,1162661.32,96081.11,3948.75
2024-09-30,12,2498.8,4224552.0,4434521.39,1163493.28,97238.09,3584.54
2024-09-30,13,2498.8,4285575.5,4659939.11,994779.45,98762.19,0.0
2024-09-30,14,2498.8,4226263.99,4953194.14,910056.36,97515.57,1545.53
2024-09-30,15,2498.8,4355411.21,5053211.23,722733.3,94079.76000000001,4473.77
2024-09-30,16,2498.8,4366644.890000001,5279917.73,399517.72000000003,98106.43,4731.92
2024-09-30,17,2498.8,4395680.51,5460879.62,58135.35,97028.98,7908.629999999999
2024-09-30,18,2498.8,4401282.12,6044163.100000001,506.45,97080.55,9308.41
2024-09-30,19,2498.8,4422378.77,6015219.56,0.0,101416.69,8841.0
2024-09-30,20,2498.8,4442768.69,5753676.029999999,0.0,99683.1,9114.29
2024-09-30,21,2498.8,4450409.9,5274495.54,0.0,99714.37,6913.74
2024-09-30,22,2498.8,4455167.04,4591793.07,0.0,102075.23,3766.88
2024-09-30,23,2498.8,4496448.89,4023566.71,0.0,89247.41,1493.59
2024-10-01,0,943.01,4230810.11,3940111.04,0.0,103719.01000000001,992.94
2024-10-01,1,943.01,4185339.44,3848662.15,0.0,103747.76999999999,1546.1599999999999
2024-10-01,2,943.01,4266237.63,3748910.42,0.0,104333.04000000001,1665.8400000000001
2024-10-01,3,943.01,4330110.34,3620065.16,0.0,107512.23999999999,1647.6
2024-10-01,4,943.01,4215259.57,3737676.4,0.0,103475.22,1423.88
2024-10-01,5,943.01,4161116.46,4151276.21,1944.54,107122.81,1980.4099999999999
2024-10-01,6,943.01,4202294.06,4064777.3200000003,257223.46,99395.06,1490.58
2024-10-01,7,943.01,4159215.44,3952002.4099999997,867874.7699999999,103546.79000000001,302.34000000000003
2024-10-01,8,943.01,4009183.55,4209294.68,1222989.54,100257.06999999999,465.09000000000003
2024-10-01,9,943.01,4045833.08,4449555.49,1270254.37,88102.87,341.85
2024-10-01,10,943.01,4088474.8099999996,4653531.63,1296605.31,86669.45,458.79
2024-10-01,11,1039.0,4064607.22,4970179.44,1277854.26,96472.51000000001,2700.21
2024-10-01,12,943.01,4089888.4,4900252.29,1244996.03,97966.87,8183.92
2024-10-01,13,1039.0,4111163.65,4957940.75,1328136.5,98936.92,9033.34
2024-10-01,14,1039.0,4155974.59,5200542.32,1217023.15,96840.58,0.0
2024-10-01,15,1039.0,4266816.71,5453886.97,928801.75,93366.22,76.48
2024-10-01,16,1115.41,4328249.0,5756171.7,512952.54,96814.14,2079.02
2024-10-01,17,1399.0,4398746.11,6036879.11,91334.9,97927.22,7483.52
2024-10-01,18,1400.5,4409825.96,6682469.78,35.76,97388.31,10595.720000000001
2024-10-01,19,1400.5,4424362.89,6718249.49,0.0,97964.6,10308.61
2024-10-01,20,1400.0,4424588.37,6543162.65,0.35,99529.17,6959.07
2024-10-01,21,1399.0,4409535.13,6023701.13,0.35,100318.34,4733.1
2024-10-01,22,1039.0,4242456.42,5494241.66,0.0,104397.37,3194.61
2024-10-01,23,943.01,4012078.12,5159925.86,0.35,100808.23,1542.9099999999999
2024-10-02,0,944.53,3832630.73,4598699.08,0.35,96627.64,1267.0900000000001
2024-10-02,1,944.53,3848850.4899999998,4241870.18,0.0,102173.22,1551.75
2024-10-02,2,943.53,3868763.31,3985977.79,0.35,98344.51999999999,1405.29
2024-10-02,3,943.53,3904783.4899999998,3857183.6,0.35,100690.73,424.07
